263,Surat,S039,Ind MSME,I052,Surat,S039,06.02.2022,Mumbai,IDIB000S039,06.02.2022,"Shop No.12 to 15, Reshamwala Market,Ring Road,Surat-395002, Gujarat",2612352742,surat@indianbank.co.in,Mumbai,Surat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,Bodakdev,G523,Vastrapur,G523,Vastrapur,V135,06.02.2022,Mumbai,IDIB000V135,06.02.2022,"Shop No.2 GF Abhishree Adroit, Near Mansi Circle, Vastrapur,Ahmedabad, Gujarat-380015",7948414599,vastrapur@indianbank.co.in,Mumbai,Ahmedabad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,Madhyamgram,M323,Udayrajpur,M323,Udayrajpur,U508,,Kolkata,IDIB000U508,09.02.2022,"P O UDAYRAJPUR JESSORE ROAD,NORTH 24 PARGANAS ,WEST BENGAL-700129",9836089751,U508@indianbank.co.in,kolkata,Barasat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266,Ranchi Chatra,C558,Tatisilwai,C558,Tatisilwai,T527,,patna,IDIB000T527,06.02.2022,"Purulia Road,VILL and PO- TATISILWAI DIST RANCHI- 835103, Jharkhand",6512265887,TATISILWAI@indianbank.co.in,Patna,Ranchi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267,Governorpet,G015,Prakasam Road Vijayawada,G015,Prakasam Road Vijayawada,V527,06.02.2022,hyderabad,IDIB000V527,06.02.2022,"Branch D.No. 27-6-170, Beside Annapurna Theatre, Prakasam Rd, Governorpet,Vijayawada-520002 Andhra Pradesh",0866-2578582,VIJAYWADA@indianbank.co.in,Hyderabad,Vijayawada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268,Bhuj,B044,Bhuj,B804,Bhuj,B044,07.02.2022,Mumbai,IDIB000B044,07.02.2022,"Plot No.50, Vijayanagar,Opp to Madan Singh Park, Bhuj-370001, Gujarat",02832 251840,bhuj@indianbank.co.in,Mumbai,Ahmedabad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
269,Madhapar,M326,Madhapur,M326,BHUJ MADHAPUR,M513,07.02.2023,Mumbai,IDIB000M513,07.02.2022,"PLOT NO 3/2/73A NEAR RAJU ROTI NAVAVAS, Madhapar,KACHCHH , Gujarat-370020",2832240257,MADHAPUR.BHUJ@indianbank.co.in,Mumbai,Ahmedabad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270,Akbarpur (IB),A149,Shazadpur (eAB),A149,Shazadpur,S644,12.03.2022,Allahabad,IDIB000S644,12.03.2022,"SHAHZADPUR AKBARPUR,AMBEDKAR NAGAR ,UTTAR PRADESH -262701",6393689630,SHAHZADPUR@indianbank.co.in,Allahabad,Gorakhpur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
271,Bachhrawan 2,B515,Bachhrawan 1,B515,Bachhrawan 1,B135,12.03.2022,Allahabad,IDIB000B135,12.03.2022,"A 21, Patel Nagar, Bachhrawan, RAE BARELI , Uttarpradesh-229301",8840660744,bachhrawan@indianbank.co.in,Allahabad,Allahabad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272,Khalilabad,K200,Khalilabad Gola Bazar (eAB),K200,Khalilabad Gola Bazar,K669,12.03.2022,Allahabad,IDIB000K669,12.03.2022,"236 GOLA BAZAR KHALILABAD, Gola Bazar, Khalilabad, Sant Kabir NagarUttar pradesh,272175",7904538184,khalilabad.K669@indianbank.co.in,Allahabad,Gorakhpur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
273,Lalganj 1,L014,Lalganj 2,L014,Lalganj ,L525,12.03.2022,,IDIB000L525,12.03.2022,"NAI BAZAR,MAIN ROAD LALGANJ,RAE BARELI,UTTAR PRADESH -229206",5315245884,LALGANJ.L525@indianbank.co.in,Allahabad,Allahabad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
274,Maharajganj-Pharenda Road,M207,Maharajganj,M207,Maharajganj,M537,12.03.2022,Allahabad,IDIB000M537,12.03.2022,"JLNSPG COLLEGE CAMPUS MAHARAJ GANJ DIST.MAHARAJGANJ,Uttar pradesh-273303",6393269230,MAHARAJGANJ.M537@indianbank.co.in,Allahabad,Gorakhpur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275,Padrauna-Ramkola Road,P183,Padrauna (eAB),P183,Padrauna (eAB),P511,12.03.2022,Allahabad,IDIB000P511,12.03.2022,"HIG PLOT No.10, Tulsi Awas Vikas Colony, Phase -2 ,Padrauna, Kushi Nagar, Uttar Pradesh-274304",5564245801,P511@indianbank.co.in,Allahabad,Gorakhpur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276,Gyanpur (IB),,Gyanpur,V508,Gyanpur (IB),G080,,28.02.2022,IBID000G080,12.03.2022,"OLD R.T.O OFFICE, Patel Nagar, Gyanpur,SRN BHADOHI ,UttarPradesh-221304",05414 251778,gyanpur@indianbank.co.in,Allahabad,Varanasi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277,Shaudatpura Mau,M225,Police Line Mau,M225,Police Line Mau,U533,12.03.2022,Allahabad,IDIB000U533,12.03.2022,CAMPUS OF UPSTATE SPINNING CO LTD POLICE LINE ROAD POLICE LINE MAU 275101,5472227987,POLICELINEMAU@indianbank.co.in,Allahabad,Varanasi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278,Btm  Layout,B606,Btm  Layout ,B606,Btm  Layout ,B109,12.03.2022,Bengaluru,IDIB000B109,12.03.2022,"689-690, 7th MAIN, 7th CROSS, BTM Layout nd Stage,Bangalore-560076",8022958870,btmlayout@indianbank.co.in,Bengaluru,Bengaluru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
279,Thrissur,T567,Thrissur,T567,Thrissur,T054,12.03.2022,Bengaluru,IDIB000T054,12.03.2022,"K.D.S.Building, Swaraj Round East, Thrissur, Kerala-680001",0487-2331244,thrissur@indianbank.co.in,Bengaluru,Kozhikode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280,Dewas ,D592,Dewas ,D592,Dewas ,D043,12.03.2022,bhuvaneshwar,IDIB000D043,12.03.2022,"91, Moti Bangla,Moti Bangla Main Road,Dewas, Madhya Pradesh-455001",9993088776,dewas@indianbank.co.in,Bhubaneswar,Bhopal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,Jagatsinghpur- Gandhi Chowk,J512,Jagatsinghpur,J512,Jagatsinghpur,J038,12.03.2022,bhuvaneshwar,IDIB000J038,12.03.2022,"AT- Durgabazar, Cuttack Machhagaon Road, Jagatsinghpur, Orissa-754103",9437078488,jagatsinghpur@indianbank.co.in,Bhubaneswar,Bhubaneshwar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282,Ind Msme (Sunder Nagar),S252,Ssifb Sunder Nagar Ludhiana,S252,Ludhiana  SME Finance ,L573,12.03.2022,,IDIB000L573,12.03.2022,BXXIV 2667 RAHON ROAD SUNDER NAGAR DISTRICT LUDHIANA PUNJAB 141007,7347035130,smefinancebranch.ludhiana@indianbank.co.in,Chandigarh,Ludhiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,R A Puram,R003,E R A Puram ,R003,E R A Puram ,E001,13.07.2020,,IDIB000E001,13.07.2020,"CSM Plaza,Old No-45, New No-34,Venkatakrishna Road, Mandavelipakkam, Chennai -600028",044-24938454,erapuram@indianbank.co.in,Chennai,Chennai South,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
284,Hanamkonda,H525,"Hunter Road, Hanamkonda",H525,Hunter Road,H031,12.03.2022,Hyderabad,IDIB000H031,12.03.2022,"HNO 1-7-1039,Santhosh Nagar Colony, Opp- New Science Degree College , Hunter Road, Telungana-506001",0870-2542489,hunterroad@indianbank.co.in,Hyderabad,KARIM NAGAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
285,Chittor Main,C602,Sundarayya Street,C602,Chittor Main,C026,12.03.2022,Hyderabad,IDIB000C026,12.03.2022,"P B No.52, No.10-3-74,Seshapiran Street, Chittoor, Andra Pradesh-517001",8572233583,chittoormain@indianbank.co.in,Hyderabad,Tirupati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
286,PillBhit,U534,Upadhi Maha Vidyalaya PilIBhit,U534,PillBhit,P166,12.03.2022,Meerut,IDIB000P166,12.03.2022,"3, GANDHI STADIUM ROAD, OPP Dr Chandra Hospital, PILIBHIT",05882-253900,pilibhit@indianbank.co.in,Meerut,Moradabad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
287,Madgao,M510,Margao,M510,Margao,M058,12.03.2022,,IDIB000M058,12.03.2022,"Shop No.14,15 & 16, Guru Sai Plaza, Near Adarsh School, Isidora Baaptista Road,South Goa-403601",8322714301,margao@indianbank.co.in,Mumbai,Pune,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
288,"Mehsaul Chowk, Sitamarhi",S275,Sitamarhi(eAB),S275,Sitamarhi(eAB),S728,12.03.2022,Patna,IDIB000S728,12.03.2022,"MAIN ROAD DIST SITAMARHI, Shankar Chawk, Vishnu Market, Sitamarhi,Bihar-843302",6226250476,SITAMARHI.S728@indianbank.co.in,Patna,Muzaffarpur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
289,Sundargarh,,Sundargarh,,Sundargarh,S191,,,IDIB000S191,12.03.2022,"Plot No.680 & 681,Hospital Road, Mission Square, Sundargarh,Orissa-770001",6622272285,sundargarh@indianbank.co.in,Bhubaneswar,Sambalpur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
290,Pune City,,Laxmi Road Pune,,Laxmi Road Pune,P680,,,IDIB000P680,22.05.2022,"SEVA SADAN SOCIETY BUILDING,LAXMI ROAD,SADASHIVPETH ,PUNE, MAHARASHTRA 411030",2024455079,pune.P680@indianbank.co.in ,Mumbai,Pune,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
291,Basti-  Kateshwar Park,,Basti,,Basti,B691,,,IDIB000B691,22.05.2022,"House No-325, Ward No-6, Mohalla Chaya Bari, Near BSNL Telephone Exchange, New Road Ways,Basti, UP-272002",5542282272,B691@indianbank.co.in,Allahabad,Gorakhpur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292,Katra ,,Katra Vaishno Devi ,,Katra Vaishno Devi ,K635,,,IDIB000K635,22.05.2022,"HOTEL MOUNT VIEW JAMMU ROAD KATRA,JAMMU ROAD,REASI ,J&K -182301 
",191232778,K635@indianbank.co.in,Chandigarh,Amravati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293,Rewa ,,Rewa (eAB),,Rewa (eAB),R631,,,IDIB000R631,22.05.2022,"PILIKOTHI COMPOUND OPP TO Shilpa Plaza, Rewa MP-486001",7978246770,r631@indianbank.co.in,Bhubaneswar,Satna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
294,Keonjhar,,Keonjhar,,Keonjhar,K198,,,IDIB000K198,22.05.2022,"
DHOBADIHA CHOWK,N.H.-49,STATION ROAD,KENDUJHARGARH,KEONJHAR ,ORISSA-758001
",06766-258099,keonjhar@indianbank.co.in,Bhubaneswar,Sambalpur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295,Khunti ,,Khunti ,,Khunti ,K710,,,IDIB000K710,22.05.2022,"SK STOREs MAIN ROAD Khunti,Jharkhand -835210",9838537935,KHUNTI.K710@indianbank.co.in,Patna,Ranchi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296,Microsate Ranchi,,Ranchi,,Ranchi,R010,,,IDIB000R010,22.05.2022,"Ist Floor Sainik Market Main Road, Ranchi,Jharkhad-834001",0651--2331762,ranchi@indianbank.co.in,Patna,Ranchi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297,Sakchi,,Jamshedpur Sakchi,,Jamshedpur Sakchi,J560,,,IDIB000J560,22.05.2022,"
ELLORA COMPLEX, 41,THAKURBARI ROAD,SAKCHI JAMSHEDPUR,JHARKHAND-831001 
",6572428117,SAKCHI.JAMSHEDPUR@indianbank.co.in,Patna,Ranchi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298,Papampeta,,"Shirdi Nagar, Ananthapur",,"Shirdi Nagar, Ananthapur",A630,,,IDIB000A630,22.05.2022,CHANDRA ARCADE PLOT NO 150/1 SHIRDI NAGAR ANANTHPUR A P 515001,8554227333,ANANTAPUR@indianbank.co.in,Hyderabad,Tirupathi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
